Company,Financial_Term,Year,Value
Microsoft,Total_Revenue,2025,281784
Microsoft,Total_Revenue,2024,245122
Microsoft,Total_Revenue,2023,211915
Microsoft,Total_Revenue,2022,0
Microsoft,Net_Income,2025,101832
Microsoft,Net_Income,2024,88136
Microsoft,Net_Income,2023,72361
Microsoft,Net_Income,2022,0
Microsoft,Total_Assets,2025,619003
Microsoft,Total_Assets,2024,512163
Microsoft,Total_Assets,2023,411976
Microsoft,Total_Assets,2022,0
Microsoft,Total_Liabilities,2025,275524
Microsoft,Total_Liabilities,2024,243686
Microsoft,Total_Liabilities,2023,205753
Microsoft,Total_Liabilities,2022,0
Microsoft,Cash_Flow,2025,136162
Microsoft,Cash_Flow,2024,118548
Microsoft,Cash_Flow,2023,87582
Microsoft,Cash_Flow,2022,0
Tesla,Total_Revenue,2025,0
Tesla,Total_Revenue,2024,97690
Tesla,Total_Revenue,2023,96773
Tesla,Total_Revenue,2022,81462
Tesla,Net_Income,2025,0
Tesla,Net_Income,2024,7153
Tesla,Net_Income,2023,14974
Tesla,Net_Income,2022,12587
Tesla,Total_Assets,2025,0
Tesla,Total_Assets,2024,122070
Tesla,Total_Assets,2023,106618
Tesla,Total_Assets,2022,82338
Tesla,Total_Liabilities,2025,0
Tesla,Total_Liabilities,2024,48390
Tesla,Total_Liabilities,2023,43009
Tesla,Total_Liabilities,2022,36440
Tesla,Cash_Flow,2025,0
Tesla,Cash_Flow,2024,14923
Tesla,Cash_Flow,2023,13256
Tesla,Cash_Flow,2022,14724
Apple,Total_Revenue,2025,416161
Apple,Total_Revenue,2024,391035
Apple,Total_Revenue,2023,383285
Apple,Total_Revenue,2022,0
Apple,Net_Income,2025,112010
Apple,Net_Income,2024,93736
Apple,Net_Income,2023,96995
Apple,Net_Flow,2022,0
Apple,Total_Assets,2025,359241
Apple,Total_Assets,2024,364980
Apple,Total_Assets,2023,352583
Apple,Total_Assets,2022,0
Apple,Total_Liabilities,2025,285508
Apple,Total_Liabilities,2024,308030
Apple,Total_Liabilities,2023,290437
Apple,Total_Liabilities,2022,0
Apple,Cash_Flow,2025,29943
Apple,Cash_Flow,2024,30737
Apple,Cash_Flow,2023,24977
Apple,Cash_Flow,2022,0
